"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","Ros","+/-"
"*0529l*","Endy Rodriguez","PIT","C,1B,INF","941","FA","26","@CHW Wed 7:40PM","28.62","23%","-1%"
"*04n0o*","Cole Wilcox","SEA","RP","943","FA","27","TEX 1<br/>@SEA 3","28.54","4%","0%"
"*03dqv*","Tanner Banks","PHI","RP","945","FA","34","HOU Wed 6:40PM","28.53","2%","0%"
"*05r9j*","Marcelo Mayer","SF","2B,3B,SS,INF","959","FA","23","STL 6<br/>@SF 1","27.86","52%","0%"
"*03qwa*","Phil Maton","CHC","RP","965","FA","33","@MIL Wed 7:40PM","27.71","8%","0%"
"*01usr*","Kyle Higashioka","TEX","C","966","FA","36","TEX 1<br/>@SEA 3","27.65","7%","0%"
"*04nq4*","Blaze Jordan","STL","1B,3B,INF","972","FA","23","STL 6<br/>@SF 1","27.41","28%","0%"
"*03qxr*","Cole Sands","MIN","SP,RP","981","FA","29","MIN 2<br/>@DET 6","26.4","8%","0%"
"*04pwx*","Jonathan Heasley","TB","SP,RP","986","FA","29","@ATL Wed 7:15PM","26.08","0%","0%"
"*05jpu*","Daniel Susac","SF","C","999","FA","25","STL 6<br/>@SF 1","25.42","10%","0%"
"*04674*","Johan Oviedo","BOS","SP","1005","FA","28","LAA Wed 6:45PM","25.13","21%","0%"
"*05jr5*","Blake Dunn","CIN","OF","1009","FA","28","@LAD Wed 10:10PM","24.75","7%","0%"
"*04an8*","Wenceel Perez","DET","OF","1011","FA","26","MIN 2<br/>@DET 6","24.72","13%","0%"
